Class,Datasets,Triples,,
http://www.w3.org/2002/07/owl#Class,33,90798,,
http://www.w3.org/2002/07/owl#DatatypeProperty,31,1145,,
http://www.w3.org/2002/07/owl#ObjectProperty,27,13386,,
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,27,897,,
http://www.w3.org/2004/02/skos/core#Concept,26,8975088,,
http://www.w3.org/2002/07/owl#Ontology,26,3342,,
http://xmlns.com/foaf/0.1/Person,24,1605769,,
http://rdfs.org/ns/void#Dataset,22,66,,
http://www.w3.org/2000/01/rdf-schema#Class,21,157,,
http://purl.org/void/provenance/ns/ProvenanceEvent,21,57,,
http://www.w3.org/2004/02/skos/core#ConceptScheme,21,49,,
http://www.w3.org/2002/07/owl#AnnotationProperty,17,159,,
http://xmlns.com/foaf/0.1/Organization,16,1917,,
http://xmlns.com/foaf/0.1/Agent,13,1533,,
http://purl.org/openorg/AuthoritativeDataset,12,12,,
http://www.w3.org/2002/07/owl#Restriction,10,8805,,
http://xmlns.com/foaf/0.1/OnlineAccount,10,17,,
http://purl.org/linked-data/cube#Observation,9,2211374,,
http://xmlns.com/foaf/0.1/Document,9,153343,,
http://inference-web.org/2.0/pml-justification.owl#NodeSet,9,86,,
http://purl.org/twc/vocab/conversion/Dataset,9,49,,
http://inference-web.org/2.0/pml-justification.owl#InferenceStep,9,33,,
http://inference-web.org/2.0/pml-provenance.owl#Information,9,33,,
http://openprovenance.org/ontology#WasControlledBy,9,23,,
http://inference-web.org/2.0/pml-provenance.owl#SourceUsage,9,22,,
http://inference-web.org/2.0/pml-provenance.owl#InferenceEngine,9,20,,
http://inference-web.org/2.1exper/pml-provenance.owl#AntecedentRole,9,20,,
http://purl.org/twc/vocab/conversion/LayerDataset,9,14,,
http://inference-web.org/2.0/pml-provenance.owl#Source,9,12,,
http://purl.org/twc/vocab/conversion/HTTPHeader,9,12,,
http://www.semanticdesktop.org/ontologies/nfo/#FileHash,9,12,,
http://purl.org/twc/vocab/conversion/Curl,9,10,,
http://purl.org/twc/vocab/conversion/DatasetSample,9,10,,
http://usefulinc.com/ns/doap#GitRepository,9,10,,
http://purl.org/twc/vocab/conversion/AbstractDataset,9,9,,
http://purl.org/twc/vocab/conversion/MetaDataset,9,9,,
http://purl.org/twc/vocab/conversion/VersionedDataset,9,9,,
http://usefulinc.com/ns/doap#Project,9,9,,
http://usefulinc.com/ns/doap#Version,9,9,,
http://logd.tw.rpi.edu/source/twc-rpi-edu/vocab/Dataset,8,43,,
http://purl.org/openorg/NonAuthoritativeDataset,8,8,,
http://purl.org/twc/vocab/conversion/EnhancementConversionProcess,8,8,,
http://www.w3.org/2006/vcard/ns#Address,7,144127,,
gr:ProductOrServiceModel,7,33712,,
http://purl.org/weso/pscs/ontology/PSCConcept,7,33712,,
http://www.w3.org/2002/07/owl#SymmetricProperty,7,13,,
http://purl.org/goodrelations/v1#Offering,6,22441,,
http://www.w3.org/2002/07/owl#TransitiveProperty,6,31,,
http://www.w3.org/2002/07/owl#Thing,5,139048,,
http://purl.org/linked-data/cube#MeasureProperty,5,171,,
http://purl.org/linked-data/cube#DataSet,5,76,,
http://www.w3.org/2000/01/rdf-schema#Datatype,5,14,,
http://purl.org/ontology/bibo/Book,4,963383,,
http://purl.org/ontology/bibo/Document,4,93113,,
http://xmlns.com/foaf/0.1/Image,4,41211,,
http://purl.org/goodrelations/v1#BusinessEntity,4,22274,,
http://purl.org/ontology/bibo/Article,4,19394,,
http://purl.org/ontology/bibo/AudioVisualDocument,4,2885,,
http://www.w3.org/2002/07/owl#FunctionalProperty,4,2492,,
http://purl.org/goodrelations/v1#LocationOfSalesOrServiceProvisioning,4,333,,
http://purl.org/goodrelations/v1#ProductOrServicesSomeInstancesPlaceholder,4,171,,
http://purl.org/linked-data/cube#DimensionProperty,4,96,,
http://purl.org/dc/terms/IMT,4,59,,
http://purl.org/twc/vocab/conversion/Only_if_column,4,4,,
http://semantic-mediawiki.org/swivt/1.0#Subject,3,420487,,
http://purl.org/ontology/bibo/Thesis,3,126189,,
http://eprints.org/ontology/Document,3,67555,,
http://eprints.org/ontology/EPrint,3,18974,,
http://www.geonames.org/ontology#Feature,3,10658,,
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,3,2620,,
http://purl.org/ontology/bibo/Image,3,2227,,
http://purl.org/ontology/bibo/Slideshow,3,1002,,
http://purl.org/goodrelations/v1#OpeningHoursSpecification,3,748,,
http://purl.org/ontology/bibo/AudioDocument,3,545,,
http://labs.mondeca.com/vocab/voaf#Vocabulary,3,266,,
http://purl.org/ontology/bibo/Manuscript,3,242,,
http://xmlns.com/foaf/0.1/Group,3,83,,
http://purl.org/linked-data/cube#DataStructureDefinition,3,58,,
http://www.w3.org/2002/07/owl#AllDifferent,3,17,,
http://data-gov.tw.rpi.edu/2009/data-gov-twc.rdf#InstanceHubDataset,3,4,,
http://purl.org/vocab/frbr/core#Item,2,3484139,,
http://purl.org/dc/dcmitype/Text,2,279364,,
http://opendatacommunities.org/def/geography#LSOA,2,68756,,
http://purl.org/ontology/mo/Performance,2,35215,,
http://purl.org/ontology/bibo/Proceedings,2,25069,,
