Property,Dataset Count,Link Count,Subject Class,Object Class,
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,10,13561306,http://purl.org/linked-data/cube#Observation,,
http://purl.org/linked-data/cube#dataSet,1,10210235,,,
http://worldbank.270a.info/property/indicator,1,8977899,,,
http://purl.org/linked-data/sdmx/2009/dimension#refArea,1,7868258,,,
http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,1,6860641,,,
http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,7,6248659,http://purl.org/linked-data/cube#Observation,,
http://purl.org/linked-data/sdmx/2009/dimension#refArea,6,3580142,http://purl.org/linked-data/cube#Observation,,
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,2,3486502,http://purl.org/vocab/frbr/core#Item,,
http://purl.org/vocab/frbr/core#exemplar,1,3223453,http://purl.org/ontology/bibo/Book,,
http://purl.org/vocab/frbr/core#owner,1,3097220,,,
http://purl.org/linked-data/cube#dataSet,7,2859069,http://purl.org/linked-data/cube#Observation,,
http://worldbank.270a.info/property/indicator,1,2327562,http://purl.org/linked-data/cube#Observation,,
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1,2049423,http://www.systemone.at/2006/03/wikipedia#Article,,
http://stats.data-gov.ie/property/geoArea,1,1660900,http://purl.org/linked-data/cube#Observation,,
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,21,1629863,http://xmlns.com/foaf/0.1/Person,,
http://purl.org/ontology/similarity/element,1,1508259,,,
http://purl.org/linked-data/sdmx/2009/dimension#sex,1,1455873,http://purl.org/linked-data/cube#Observation,,
http://xmlns.com/foaf/0.1/homepage,31,1299057,,,
http://www.w3.org/2002/07/owl#sameAs,37,1148474,,,
http://stats.data-gov.ie/property/age2,1,1140672,http://purl.org/linked-data/cube#Observation,,
http://stats.data-gov.ie/property/maritalStatus,1,1140672,http://purl.org/linked-data/cube#Observation,,
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1,1067453,http://purl.uniprot.org/core/Taxon,,
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,4,963382,http://purl.org/ontology/bibo/Book,,
http://purl.org/dc/elements/1.1/subject,1,899010,http://purl.org/ontology/bibo/Book,,
http://purl.org/dc/elements/1.1/subject,2,810712,,,
http://purl.org/ontology/similarity/method,1,766417,,,
